developer,price,Año
"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,2016
Creobit,0.0,2016
Creobit,0.0,2017
Creobit,0.0,0
Critical Games,0.0,0
Critical Games,0.0,2015
Croteam,0.0,2010
Croteam,0.0,2014
Cryptic Studios,0.0,2013
Cryptic Studios,0.0,2010
Cryptic Studios,0.0,2009
Crytek,0.0,2015
Crytek,0.0,2017
Crytek,0.0,2014
Crytek,0.0,2017
Crytek,0.0,2014
Crytek,0.0,2014
Crytek,0.0,2014
Crytek,0.0,2014
Crytek,0.0,2014
Crytek,0.0,2014
DL Softworks,0.0,2016
DL Softworks,0.0,2016
DL Softworks,0.0,2016
DL Softworks,0.0,2016
"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",0.0,2016
"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",0.0,2015
DR Studios,0.0,2017
DR Studios,0.0,2014
Dark Gaia Studios,0.0,2015
Dark Gaia Studios,0.0,2016
Daybreak Game Company,0.0,2015
Daybreak Game Company,0.0,2014
Daybreak Game Company,0.0,2014
Daybreak Game Company,0.0,2011
Daybreak Game Company,0.0,2014
Daybreak Game Company,0.0,2011
Daybreak Game Company,0.0,2012
Daybreak Game Company,0.0,2012
Daybreak Game Company,0.0,2015
Daybreak Game Company,0.0,2015
Daybreak Game Company,0.0,2016
Daybreak Game Company,0.0,2014
Daybreak Game Company,0.0,2014
Daybreak Game Company,0.0,2014
DeXP,0.0,2014
DeXP,0.0,2016
Deck Nine,0.0,2017
Deck Nine,0.0,2017
Deck Nine,0.0,2017
Desert Owl Games LLC,0.0,2014
Desert Owl Games LLC,0.0,2016
Desert Owl Games LLC,0.0,2017
Digital Eel,0.0,2008
Digital Eel,0.0,2011
Digital Extremes,0.0,2017
Digital Extremes,0.0,2013
Digital Extremes,0.0,2017
Digital Extremes,0.0,2017
Digital Extremes,0.0,2017
Digital Leisure Inc.,0.0,2015
Digital Leisure Inc.,0.0,2014
Dire Wolf Digital,0.0,2017
Dire Wolf Digital,0.0,2016
Dodge Roll,0.0,2016
Dodge Roll,0.0,2016
Dodge Roll,0.0,2014
Dragom,0.0,2016
Dragom,0.0,2017
"Dragonfly GF Co., LTD",0.0,2013
"Dragonfly GF Co., LTD",0.0,2017
Ebullience Games,0.0,2017
Ebullience Games,0.0,2017
Eforb,0.0,2015
Eforb,0.0,2016
Egosoft,0.0,2014
Egosoft,0.0,2013
Eko Software,0.0,2016
Eko Software,0.0,2016
Eko Software,0.0,2016
Endless Loop Studios,0.0,2016
Endless Loop Studios,0.0,2015
Endless Loop Studios,0.0,2017
Endless Loop Studios,0.0,2015
Endless Loop Studios,0.0,2014
Endless Loop Studios,0.0,2015
Endless Loop Studios,0.0,2017
Eternal Night Studios,0.0,2016
Eternal Night Studios,0.0,2017
Eugen Systems,0.0,2014
Eugen Systems,0.0,2012
Eugen Systems,0.0,2012
Eugen Systems,0.0,2012
Eugen Systems,0.0,2012
Eugen Systems,0.0,2014
Eugen Systems,0.0,2013
Eugen Systems,0.0,2013
Eugen Systems,0.0,2015
Eurocom,0.0,2008
Eurocom,0.0,2010
Eutechnyx,0.0,2015
Eutechnyx,0.0,2016
Eutechnyx,0.0,2015
Eutechnyx,0.0,2015
Expansive Worlds,0.0,2017
Expansive Worlds,0.0,2017
Expansive Worlds,0.0,2017
Expansive Worlds,0.0,2017
"Expansive Worlds,Avalanche Studios",0.0,2014
"Expansive Worlds,Avalanche Studios",0.0,2017
ExperaGameStudio,0.0,2017
ExperaGameStudio,0.0,2017
"F.U.U.M. Co., Ltd.",0.0,2017
"F.U.U.M. Co., Ltd.",0.0,2017
"F.U.U.M. Co., Ltd.",0.0,2017
"F.U.U.M. Co., Ltd.",0.0,2017
FIVE-BN GAMES,0.0,2016
